NT_1	NT_2	NT_3	Pit_1	Pit_2	Pit_3	T2_1	T2_2	T2_3	T2wPit_1	T2wPit_2	T2WPit_3
ENSG00000215912.12	3.48293933960067	3.26181000157288	3.18835836021203	3.39768517259112	3.30109385375234	3.5839275908325	3.85391847411576	3.6068161284744	3.42116770810049	3.62173776596239	3.75631837099192	3.93729126410737
ENSG00000142611.17	2.16506471740849	2.1001228983553	2.43027061690841	2.24621610646216	2.03745239476583	1.99897895399192	2.52173487773438	2.21950050115892	2.33073053059981	2.25457814554456	2.1656329328541	2.38470615487267
ENSG00000130762.15	3.809840874296	3.7185484897467	3.60634212871034	3.67160868752514	3.80801314867313	3.76080455307326	4.02101865332555	3.76810750360635	3.59534140114481	4.04710459998349	3.95599562257851	4.00641873144005
ENSG00000162591.16	2.52832106894401	3.34100668788262	3.25243189589769	3.14162785859655	3.21322328812961	3.09011580754375	2.52173487773438	2.40539834185144	2.45648672742319	2.7509910933842	3.16992726281838	2.77264757936433
ENSG00000158109.15	6.71317983701637	6.63891879758144	6.6714235270994	6.71494658325917	6.7625787952158	6.68241133156199	6.83967752845022	6.80348953686949	6.8442755281083	6.57671191147097	6.62740930072472	6.65874038966577
ENSG00000116213.16	3.3202385414275	3.47344898699139	3.30171760217915	3.48440516919728	3.48117974161791	3.51979756850246	3.70115820892079	3.44654259617858	3.42116770810049	3.6907355318583	3.73474226443147	3.64692665440942
ENSG00000078900.15	6.81893287825354	6.73734599973273	6.69120910797088	6.42820957712206	6.32262375558988	6.47257661902582	6.83458561275476	6.84928768845245	6.78436980370838	6.34083316520931	6.459994578557	6.46359933457075
ENSG00000227372.12	3.52952126024488	3.2288725519683	3.06532653788606	3.16806852753587	3.31171070539386	3.20332568128729	2.9710634592833	3.04616189678566	2.94262145763239	2.98874901251207	3.18591592619312	2.86061932247076
ENSG00000130764.10	4.69245619606705	5.06210079958963	4.8323744621293	4.92078540766538	5.00930705827538	4.89746375720491	5.08363647885998	5.05482608315512	5.09083199489957	4.893474136938	4.94319672532906	5.08331225788617
ENSG00000116198.14	6.02896181711063	6.06068381455762	6.04611681099731	6.05411991320406	6.1276123794755	6.14605362494518	6.10552445629362	6.23557654124897	5.96759668925201	6.08937266949306	6.13095383233557	6.23581743737572
ENSG00000169598.17	0.938547793528824	1.01016833168366	0.804842179962955	1.09264106307885	1.09728877914006	0.93487130263486	1.13195445981067	0.761306236717811	0.866559155573791	1.04146257418044	0.90988865970243	1.14713755110669
ENSG00000198912.12	3.70212362650472	3.87575519434335	3.72851842937327	3.82902566918033	4.18238657205442	3.88479276534936	4.02817297736889	3.8977503897034	3.69057046843197	4.11771122307659	3.85960880228705	4.11772255395527
ENSG00000236423.7	1.50275647856409	0.756499938052268	1.49737875634794	1.29813443276502	1.36532275599711	1.23031913405	0.290488006886303	0.891534900479116	0.792165866109099	1.09335193530087	1.05623338132698	-0.111299412773654
ENSG00000196581.11	2.27850843802708	2.64062394647701	2.83362793602819	1.84869313704019	2.29455639589552	2.06037863216743	1.83333404690474	2.11672181311329	1.4540063277851	1.37070238905402	1.71504275852751	1.85245527248868
ENSG00000131697.18	5.39231450872366	5.28275183681633	5.21979243160199	5.15692316142025	5.22123154421705	5.20671748395081	5.28818427757317	5.25260000011955	5.28643339906119	5.03618827938042	5.22047986017492	5.13714732274495
ENSG00000069424.16	3.02747593303271	2.76070595992303	2.79972037909691	3.04507206882513	2.78066882455351	3.10476248490884	3.1258051955605	3.01792030651141	2.90781288459518	2.76705578068534	2.7641490639802	2.94353368921591
ENSG00000116251.11	5.83628643029563	6.01069316699484	5.83216544389005	5.70722566578736	5.60899125462674	5.47539807045536	5.60045288806368	5.66826499801023	5.90719672521797	5.52132504752993	5.51123258748249	5.54155687614231
ENSG00000158286.13	3.34649507341589	3.12529270071628	3.33760747877329	3.59572477714249	3.49055474917734	3.46408842123354	3.1258051955605	2.86777199379027	2.50387238413524	3.49243235019382	3.35100388440611	3.36049148660219
ENSG00000116237.16	7.29902688690987	7.32152472708582	7.27381945105241	7.39771983079433	7.41020307579842	7.37097198660582	7.60197482225214	7.54533946911555	7.72942771708065	7.49328100546052	7.62394136753812	7.66362604303127
ENSG00000158292.7	4.48946186574766	4.94022270783675	4.79413822274587	4.85313985366585	4.87258205163965	4.84172131514624	5.1040931340208	5.14572473724298	5.22059249221637	4.94027150642107	4.97575059328845	4.99373904851432
ENSG00000097021.20	3.30692887634896	3.97840404935303	3.57661515624951	4.05834908416161	3.9506966677572	3.99896335711691	4.3865279025515	4.21008188298552	4.19518606743959	4.35407990604462	4.42202361952609	4.30967740492582
ENSG00000069812.11	4.076181407098	4.61652060523363	4.18113533531428	3.86179139572162	4.26665125864531	4.01456015626485	4.56928990135879	4.66182586772341	4.41562119184352	4.23785195516179	4.38094442030239	4.25391211179245
ENSG00000187017.18	4.70772859256431	4.64800718440385	4.5147371475638	3.86179139572162	4.06806004576204	3.78828517379472	4.7314809813768	4.62952586266297	4.64956249955527	4.11771122307659	4.22719114174866	4.00641873144005
ENSG00000215788.11	1.548712929659	1.68029243306267	1.93237707842348	1.84869313704019	1.48271828140443	2.35805546518147	2.15425548396426	2.21950050115892	2.04062290200848	2.16041441788475	2.40299804008038	2.32410327430564
ENSG00000171680.23	3.96194274804545	3.97840404935303	4.07173593468113	4.13406957491181	4.29368015920408	4.38229078357107	4.7873640663282	4.74170726742887	4.66527845222881	4.63358748026694	4.65236553684396	4.67377755237462
ENSG00000162408.11	5.04887711540771	5.11262919422242	5.03176457906173	5.07894448976465	5.13418885502693	5.13717666185131	5.20539850540578	5.13918443304132	4.97370420255897	5.21078012264458	5.17714453596041	5.1415441989995
ENSG00000204859.13	3.59668998653713	3.32551133605778	3.42916545891983	3.05926774269197	3.34310037936035	3.24358930311663	3.47899553119435	3.59730411455921	3.35810121998449	3.28494985919488	3.30782054710025	3.25080954314482
